% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Output 1), DC coupling, 10 x probe attenuation
% Time span 1.000 ms, time offset -2.372 ms, Precision acquisition mode, 100 averages
% Edge trigger: Channel A, level 783.5 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Sine, 200.000 000 Hz, 5.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2025-03-25 T 15:24:17 +0100
% Time (s), Channel A (Input 1) (V)
2.319768000000e-03, 1.955474e+00
2.320824000000e-03, 1.955192e+00
2.321880000000e-03, 1.954993e+00
2.322936000000e-03, 1.954797e+00
2.323992000000e-03, 1.954545e+00
2.325048000000e-03, 1.954495e+00
2.326104000000e-03, 1.954439e+00
2.327160000000e-03, 1.954611e+00
2.328216000000e-03, 1.954443e+00
2.329272000000e-03, 1.954472e+00
2.330328000000e-03, 1.954508e+00
2.331384000000e-03, 1.954386e+00
2.332440000000e-03, 1.954198e+00
2.333496000000e-03, 1.954185e+00
2.334552000000e-03, 1.953883e+00
2.335608000000e-03, 1.953825e+00
2.336664000000e-03, 1.953739e+00
2.337720000000e-03, 1.953645e+00
2.338776000000e-03, 1.953498e+00
2.339832000000e-03, 1.953405e+00
2.340888000000e-03, 1.952987e+00
2.341944000000e-03, 1.952735e+00
2.343000000000e-03, 1.952186e+00
2.344056000000e-03, 1.951803e+00
2.345112000000e-03, 1.951261e+00
2.346168000000e-03, 1.950652e+00
2.347224000000e-03, 1.949828e+00
2.348280000000e-03, 1.949227e+00
2.349336000000e-03, 1.948486e+00
2.350392000000e-03, 1.947389e+00
2.351448000000e-03, 1.946520e+00
2.352504000000e-03, 1.945582e+00
2.353560000000e-03, 1.944548e+00
2.354616000000e-03, 1.943376e+00
2.355672000000e-03, 1.942447e+00
2.356728000000e-03, 1.941094e+00
2.357784000000e-03, 1.939986e+00
2.358840000000e-03, 1.938454e+00
2.359896000000e-03, 1.937189e+00
2.360952000000e-03, 1.935804e+00
2.362008000000e-03, 1.934266e+00
2.363064000000e-03, 1.932886e+00
2.364120000000e-03, 1.931312e+00
2.365176000000e-03, 1.930083e+00
2.366232000000e-03, 1.928647e+00
2.367288000000e-03, 1.926846e+00
2.368344000000e-03, 1.925342e+00
2.369400000000e-03, 1.923901e+00
2.370456000000e-03, 1.921965e+00
2.371512000000e-03, 1.920343e+00
2.372568000000e-03, 1.918533e+00
2.373624000000e-03, 1.916422e+00
2.374680000000e-03, 1.914402e+00
2.375736000000e-03, 1.912201e+00
2.376792000000e-03, 1.909789e+00
2.377848000000e-03, 1.907124e+00
2.378904000000e-03, 1.904040e+00
2.379960000000e-03, 1.900227e+00
2.381016000000e-03, 1.896428e+00
2.382072000000e-03, 1.891667e+00
2.383128000000e-03, 1.886743e+00
2.384184000000e-03, 1.880953e+00
2.385240000000e-03, 1.874508e+00
2.386296000000e-03, 1.867240e+00
2.387352000000e-03, 1.859205e+00
2.388408000000e-03, 1.850499e+00
2.389464000000e-03, 1.840949e+00
2.390520000000e-03, 1.830641e+00
2.391576000000e-03, 1.819425e+00
2.392632000000e-03, 1.807483e+00
2.393688000000e-03, 1.794330e+00
2.394744000000e-03, 1.780653e+00
2.395800000000e-03, 1.765718e+00
2.396856000000e-03, 1.749986e+00
2.397912000000e-03, 1.733151e+00
2.398968000000e-03, 1.715820e+00
2.400024000000e-03, 1.697566e+00
2.401080000000e-03, 1.678419e+00
2.402136000000e-03, 1.658543e+00
2.403192000000e-03, 1.637853e+00
2.404248000000e-03, 1.616076e+00
2.405304000000e-03, 1.593402e+00
2.406360000000e-03, 1.570002e+00
2.407416000000e-03, 1.545578e+00
2.408472000000e-03, 1.520706e+00
2.409528000000e-03, 1.494893e+00
2.410584000000e-03, 1.468750e+00
2.411640000000e-03, 1.441711e+00
2.412696000000e-03, 1.414345e+00
2.413752000000e-03, 1.386009e+00
2.414808000000e-03, 1.357480e+00
2.415864000000e-03, 1.328352e+00
2.416920000000e-03, 1.299133e+00
2.417976000000e-03, 1.269211e+00
2.419032000000e-03, 1.238689e+00
2.420088000000e-03, 1.207903e+00
2.421144000000e-03, 1.177385e+00
2.422200000000e-03, 1.146332e+00
2.423256000000e-03, 1.115390e+00
2.424312000000e-03, 1.084031e+00
2.425368000000e-03, 1.052699e+00
2.426424000000e-03, 1.021291e+00
2.427480000000e-03, 9.897133e-01
2.428536000000e-03, 9.584950e-01
2.429592000000e-03, 9.270958e-01
