alpha_deg	beta_deg	gamma_deg	sse	sum_diff
128.00	66.00	79.00	0.03748785	-0.22182456
128.00	66.00	169.00	0.03748785	-0.22182456
128.00	114.00	11.00	0.03748785	-0.22182456
128.00	114.00	101.00	0.03748785	-0.22182456
129.00	66.00	79.00	0.03748785	-0.22182456
129.00	66.00	169.00	0.03748785	-0.22182456
129.00	114.00	11.00	0.03748785	-0.22182456
129.00	114.00	101.00	0.03748785	-0.22182456
130.00	66.00	79.00	0.03748785	-0.22182456
130.00	66.00	169.00	0.03748785	-0.22182456
130.00	114.00	11.00	0.03748785	-0.22182456
130.00	114.00	101.00	0.03748785	-0.22182456
131.00	66.00	79.00	0.03748785	-0.22182456
131.00	66.00	169.00	0.03748785	-0.22182456
131.00	114.00	11.00	0.03748785	-0.22182456
131.00	114.00	101.00	0.03748785	-0.22182456
132.00	66.00	79.00	0.03748785	-0.22182456
132.00	66.00	169.00	0.03748785	-0.22182456
132.00	114.00	11.00	0.03748785	-0.22182456
132.00	114.00	101.00	0.03748785	-0.22182456
133.00	66.00	79.00	0.03748785	-0.22182456
133.00	66.00	169.00	0.03748785	-0.22182456
133.00	114.00	11.00	0.03748785	-0.22182456
133.00	114.00	101.00	0.03748785	-0.22182456
134.00	66.00	79.00	0.03748785	-0.22182456
134.00	66.00	169.00	0.03748785	-0.22182456
134.00	114.00	11.00	0.03748785	-0.22182456
134.00	114.00	101.00	0.03748785	-0.22182456
155.00	66.00	11.00	0.03748785	-0.22182456
155.00	66.00	101.00	0.03748785	-0.22182456
155.00	114.00	79.00	0.03748785	-0.22182456
155.00	114.00	169.00	0.03748785	-0.22182456
156.00	66.00	11.00	0.03748785	-0.22182456
156.00	66.00	101.00	0.03748785	-0.22182456
156.00	114.00	79.00	0.03748785	-0.22182456
156.00	114.00	169.00	0.03748785	-0.22182456
157.00	66.00	11.00	0.03748785	-0.22182456
157.00	66.00	101.00	0.03748785	-0.22182456
157.00	114.00	79.00	0.03748785	-0.22182456
157.00	114.00	169.00	0.03748785	-0.22182456
158.00	66.00	11.00	0.03748785	-0.22182456
158.00	66.00	101.00	0.03748785	-0.22182456
158.00	114.00	79.00	0.03748785	-0.22182456
158.00	114.00	169.00	0.03748785	-0.22182456
159.00	66.00	11.00	0.03748785	-0.22182456
159.00	66.00	101.00	0.03748785	-0.22182456
159.00	114.00	79.00	0.03748785	-0.22182456
159.00	114.00	169.00	0.03748785	-0.22182456
160.00	66.00	11.00	0.03748785	-0.22182456
160.00	66.00	101.00	0.03748785	-0.22182456
160.00	114.00	79.00	0.03748785	-0.22182456
160.00	114.00	169.00	0.03748785	-0.22182456
161.00	66.00	11.00	0.03748785	-0.22182456
161.00	66.00	101.00	0.03748785	-0.22182456
161.00	114.00	79.00	0.03748785	-0.22182456
161.00	114.00	169.00	0.03748785	-0.22182456
162.00	66.00	11.00	0.03748785	-0.22182456
162.00	66.00	101.00	0.03748785	-0.22182456
162.00	114.00	79.00	0.03748785	-0.22182456
162.00	114.00	169.00	0.03748785	-0.22182456
163.00	66.00	11.00	0.03748785	-0.22182456
163.00	66.00	101.00	0.03748785	-0.22182456
163.00	114.00	79.00	0.03748785	-0.22182456
163.00	114.00	169.00	0.03748785	-0.22182456
164.00	66.00	11.00	0.03748785	-0.22182456
164.00	66.00	101.00	0.03748785	-0.22182456
164.00	114.00	79.00	0.03748785	-0.22182456
164.00	114.00	169.00	0.03748785	-0.22182456
165.00	66.00	11.00	0.03748785	-0.22182456
165.00	66.00	101.00	0.03748785	-0.22182456
165.00	114.00	79.00	0.03748785	-0.22182456
165.00	114.00	169.00	0.03748785	-0.22182456
166.00	66.00	11.00	0.03748785	-0.22182456
166.00	66.00	79.00	0.03748785	-0.22182456
166.00	66.00	101.00	0.03748785	-0.22182456
166.00	66.00	169.00	0.03748785	-0.22182456
166.00	114.00	11.00	0.03748785	-0.22182456
166.00	114.00	79.00	0.03748785	-0.22182456
166.00	114.00	101.00	0.03748785	-0.22182456
