alpha_deg	beta_deg	gamma_deg	sse	sum_diff
172.00	24.00	23.00	0.04199717	-0.2156662
172.00	24.00	24.00	0.041590207	-0.2156662
172.00	24.00	25.00	0.041070941	-0.21361341
172.00	24.00	26.00	0.040738556	-0.21361341
172.00	24.00	27.00	0.040328851	-0.21156063
172.00	24.00	28.00	0.04016867	-0.21087636
172.00	24.00	29.00	0.039962319	-0.20950784
172.00	24.00	30.00	0.039810714	-0.20813932
172.00	24.00	31.00	0.039601702	-0.20608653
172.00	24.00	121.00	0.039601702	-0.20608653
172.00	25.00	24.00	0.039425957	-0.21771898
172.00	25.00	25.00	0.038997672	-0.21635046
172.00	25.00	26.00	0.038624773	-0.21498194
172.00	25.00	27.00	0.038398106	-0.21429767
172.00	25.00	28.00	0.038135569	-0.21292915
172.00	25.00	118.00	0.038135569	-0.21292915
172.00	26.00	24.00	0.037677629	-0.22045603
172.00	26.00	114.00	0.037677629	-0.22045603
172.00	36.00	21.00	0.020341366	0.15383527
172.00	36.00	22.00	0.020037678	0.15999363
172.00	36.00	112.00	0.020037678	0.15999363
172.00	61.00	73.00	0.016222862	0.2414208
172.00	61.00	163.00	0.016222862	0.2414208
172.00	62.00	73.00	0.016175338	0.24005228
172.00	62.00	163.00	0.016175338	0.24005228
172.00	76.00	59.00	0.015960227	0.23731523
172.00	76.00	149.00	0.015960227	0.23731523
172.00	104.00	31.00	0.015960227	0.23731523
172.00	104.00	121.00	0.015960227	0.23731523
173.00	76.00	59.00	0.015960227	0.23731523
173.00	76.00	149.00	0.015960227	0.23731523
173.00	104.00	31.00	0.015960227	0.23731523
173.00	104.00	121.00	0.015960227	0.23731523
174.00	76.00	59.00	0.015960227	0.23731523
174.00	76.00	149.00	0.015960227	0.23731523
174.00	104.00	31.00	0.015960227	0.23731523
174.00	104.00	121.00	0.015960227	0.23731523
175.00	76.00	59.00	0.015960227	0.23731523
175.00	76.00	149.00	0.015960227	0.23731523
175.00	104.00	31.00	0.015960227	0.23731523
175.00	104.00	121.00	0.015960227	0.23731523
176.00	76.00	59.00	0.015960227	0.23731523
176.00	76.00	149.00	0.015960227	0.23731523
176.00	104.00	31.00	0.015960227	0.23731523
176.00	104.00	121.00	0.015960227	0.23731523
177.00	76.00	59.00	0.015924184	0.23663097
177.00	76.00	149.00	0.015924184	0.23663097
177.00	104.00	31.00	0.015924184	0.23663097
177.00	104.00	121.00	0.015924184	0.23663097
178.00	76.00	59.00	0.015924184	0.23663097
178.00	76.00	149.00	0.015924184	0.23663097
178.00	104.00	31.00	0.015924184	0.23663097
178.00	104.00	121.00	0.015924184	0.23663097
