alpha_deg	beta_deg	gamma_deg	sse
92.00	11.00	13.00	0.00201088
92.00	11.00	14.00	0.00197574
92.00	11.00	46.00	0.0018921
92.00	11.00	47.00	0.00188908
92.00	11.00	48.00	0.00188908
92.00	11.00	49.00	0.00192955
92.00	11.00	50.00	0.00192955
92.00	11.00	71.00	0.00206337
92.00	11.00	72.00	0.00206337
92.00	11.00	73.00	0.00206337
92.00	11.00	74.00	0.00205905
92.00	11.00	75.00	0.00205567
92.00	11.00	76.00	0.00205567
92.00	11.00	77.00	0.00205567
92.00	11.00	78.00	0.00205567
92.00	11.00	79.00	0.00205567
92.00	11.00	80.00	0.00205567
92.00	11.00	81.00	0.00202167
92.00	11.00	82.00	0.00202167
92.00	11.00	83.00	0.00202167
92.00	11.00	84.00	0.00202167
92.00	11.00	85.00	0.00202167
92.00	11.00	86.00	0.00201922
92.00	11.00	87.00	0.00201922
92.00	11.00	88.00	0.00201922
92.00	11.00	89.00	0.00201922
92.00	11.00	90.00	0.00201922
92.00	11.00	91.00	0.00201922
92.00	11.00	92.00	0.00201922
92.00	11.00	93.00	0.00201922
92.00	11.00	94.00	0.00201922
92.00	11.00	95.00	0.00201922
92.00	11.00	96.00	0.00201922
92.00	11.00	97.00	0.00201088
92.00	11.00	98.00	0.00201088
92.00	11.00	99.00	0.00201088
92.00	11.00	100.00	0.00201088
92.00	11.00	101.00	0.00201088
92.00	11.00	102.00	0.00201088
92.00	11.00	103.00	0.00201088
92.00	11.00	104.00	0.00197574
92.00	11.00	136.00	0.0018921
